file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/base/PersonnelBaseAction.java,edu.ncsu.csc.itrust.action.base.PersonnelBaseAction,class,4,5,1,5,0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,1,21,2,0,0,1,0,2,0,3,1,3,2,0,0,0,107,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChangeSessionTimeoutAction.java,edu.ncsu.csc.itrust.action.ChangeSessionTimeoutAction,class,3,5,1,4,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,19,1,0,0,1,0,2,1,2,0,2,2,0,0,0,64,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ChronicDiseaseRiskAction.java,edu.ncsu.csc.itrust.action.ChronicDiseaseRiskAction,class,6,4,2,5,2,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,23,3,0,0,0,0,1,0,4,0,4,0,0,0,0,89,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DeclareHCPAction.java,edu.ncsu.csc.itrust.action.DeclareHCPAction,class,6,9,1,9,0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,2,44,5,0,1,2,0,9,0,8,0,8,2,0,0,0,73,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/DrugInteractionAction.java,edu.ncsu.csc.itrust.action.DrugInteractionAction,class,6,10,1,13,0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,3,0,1,0,0,0,63,7,0,0,3,0,6,0,6,0,6,2,0,0,0,68,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditApptTypeAction.java,edu.ncsu.csc.itrust.action.EditApptTypeAction,class,7,17,1,13,0,0.6,0.6,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,65,12,3,2,2,0,17,6,9,7,8,3,0,0,0,55,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditHealthHistoryAction.java,edu.ncsu.csc.itrust.action.EditHealthHistoryAction,class,10,7,2,31,0,0.6666667,1.0,5,0,4,1,0,0,4,0,0,0,5,0,0,5,0,0,0,0,8,43,4,0,0,0,0,4,2,7,0,7,1,0,0,0,88,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditMonitoringListAction.java,edu.ncsu.csc.itrust.action.EditMonitoringListAction,class,5,7,1,9,0,0.7,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,30,5,1,1,0,0,2,0,5,0,5,2,0,0,0,78,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditOfficeVisitAction.java,edu.ncsu.csc.itrust.action.EditOfficeVisitAction,class,26,48,3,101,3,0.5,1.0,14,0,8,6,0,0,8,0,0,0,12,0,0,12,0,0,0,0,11,229,19,4,5,4,1,43,0,50,9,38,4,0,1,0,228,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditOfficeVisitAction.java,edu.ncsu.csc.itrust.action.EditOfficeVisitAction$OVSubAction,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditPatientAction.java,edu.ncsu.csc.itrust.action.EditPatientAction,class,9,6,2,22,0,0.5,0.5,5,0,4,1,0,0,4,0,0,0,5,0,0,5,0,0,0,0,1,45,2,1,0,0,0,7,0,10,1,10,1,0,0,0,88,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditPersonnelAction.java,edu.ncsu.csc.itrust.action.EditPersonnelAction,class,10,11,2,13,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,1,30,0,0,8,0,0,2,0,9,0,9,2,0,0,0,75,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditPHRAction.java,edu.ncsu.csc.itrust.action.EditPHRAction,class,24,46,2,52,28,0.4,1.0,17,0,16,1,0,0,16,0,0,0,14,0,0,14,0,0,0,0,1,163,32,9,10,1,0,22,10,32,3,31,2,0,0,0,193,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditPrescriptionAction.java,edu.ncsu.csc.itrust.action.EditPrescriptionAction,class,3,2,1,2,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,43,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EditRepresentativesAction.java,edu.ncsu.csc.itrust.action.EditRepresentativesAction,class,7,10,2,9,0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,2,46,7,0,2,2,0,12,0,8,2,8,3,0,0,0,87,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/EmergencyReportAction.java,edu.ncsu.csc.itrust.action.EmergencyReportAction,class,19,22,2,49,0,0.4888889,1.0,11,0,10,1,0,0,10,0,0,0,7,0,0,7,0,0,0,0,5,92,10,4,1,1,2,10,6,19,6,18,5,0,0,0,130,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/GenerateCalendarAction.java,edu.ncsu.csc.itrust.action.GenerateCalendarAction,class,8,21,1,29,0,0.6,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,3,77,5,5,6,0,0,0,4,25,3,23,3,0,0,0,121,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/GetUserNameAction.java,edu.ncsu.csc.itrust.action.GetUserNameAction,class,3,3,1,3,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,15,1,0,0,1,0,1,0,2,0,2,1,0,0,0,48,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/GetVisitRemindersAction.java,edu.ncsu.csc.itrust.action.GetVisitRemindersAction$ReminderType,enum,1,5,1,4,0,0.0,0.0,3,1,2,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,1,17,2,1,0,0,0,3,0,2,0,2,1,0,0,0,39,9,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/GetVisitRemindersAction.java,edu.ncsu.csc.itrust.action.GetVisitRemindersAction,class,12,144,1,38,97,0.015151516,0.015151516,15,10,12,3,0,0,12,0,0,0,4,0,0,4,0,0,0,0,20,321,18,3,37,0,24,58,193,116,36,59,3,0,1,0,193,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/LabProcHCPAction.java,edu.ncsu.csc.itrust.action.LabProcHCPAction,class,9,11,2,23,0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,5,0,0,4,0,1,0,0,0,52,3,2,2,0,1,1,1,11,1,10,3,0,0,0,92,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/LabProcUAPAction.java,edu.ncsu.csc.itrust.action.LabProcUAPAction,class,10,5,1,23,0,1.0,1.0,4,0,3,1,0,0,3,0,0,0,5,0,0,4,0,1,0,0,2,35,2,0,0,0,0,5,0,7,1,7,1,0,0,0,81,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/LoginFailureAction.java,edu.ncsu.csc.itrust.action.LoginFailureAction,class,4,6,1,8,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,1,1,3,0,0,1,0,0,32,4,0,0,2,0,3,4,5,2,5,1,0,0,0,143,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ManageHospitalAssignmentsAction.java,edu.ncsu.csc.itrust.action.ManageHospitalAssignmentsAction,class,6,18,1,15,0,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,6,86,8,1,0,6,0,14,2,15,1,15,2,0,0,0,98,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/MonitorAdverseEventAction.java,edu.ncsu.csc.itrust.action.MonitorAdverseEventAction,class,11,9,1,28,0,0.9,1.0,5,0,5,0,0,0,5,0,0,0,6,0,0,6,0,0,0,0,2,76,6,0,0,2,0,15,4,15,3,15,1,0,0,0,103,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/MyDiagnosisAction.java,edu.ncsu.csc.itrust.action.MyDiagnosisAction$HCPDiagnosisBeanComparator,innerclass,1,3,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,0,4,4,0,2,2,0,0,0,37,8,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/MyDiagnosisAction.java,edu.ncsu.csc.itrust.action.MyDiagnosisAction,class,17,19,1,48,0,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,7,0,0,7,0,0,0,0,1,109,3,6,2,1,0,1,8,25,0,22,5,0,1,0,102,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/PrescriptionReportAction.java,edu.ncsu.csc.itrust.action.PrescriptionReportAction,class,11,19,2,25,12,0.53333336,1.0,8,0,6,2,0,0,6,0,0,0,5,0,0,5,0,0,0,0,4,75,9,3,3,2,0,14,5,23,8,18,3,0,0,0,125,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ReferralManagementAction.java,edu.ncsu.csc.itrust.action.ReferralManagementAction,class,4,5,1,7,0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,23,2,0,0,0,0,0,0,3,0,3,0,0,0,0,68,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ReportAdverseEventAction.java,edu.ncsu.csc.itrust.action.ReportAdverseEventAction,class,13,13,1,31,0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,8,0,0,8,0,0,0,0,7,100,4,4,0,2,0,18,0,31,4,22,3,0,0,0,94,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ResetPasswordAction.java,edu.ncsu.csc.itrust.action.ResetPasswordAction,class,14,42,1,36,10,0.52380955,0.71428573,9,0,7,2,0,0,7,0,0,0,4,1,1,3,0,0,1,0,8,117,21,0,4,5,5,31,4,11,1,11,2,0,0,0,153,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/SearchUsersAction.java,edu.ncsu.csc.itrust.action.SearchUsersAction,class,5,9,1,7,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,32,4,0,0,2,0,10,0,6,0,2,2,0,0,0,56,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/SendMessageAction.java,edu.ncsu.csc.itrust.action.SendMessageAction,class,13,14,1,29,0,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,8,0,0,8,0,0,0,0,2,100,5,0,0,2,0,3,5,28,0,22,3,0,0,0,94,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/SetSecurityQuestionAction.java,edu.ncsu.csc.itrust.action.SetSecurityQuestionAction,class,6,5,1,11,0,1.0,1.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,23,2,0,0,0,0,2,0,4,1,4,1,0,0,0,83,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/SurveyAction.java,edu.ncsu.csc.itrust.action.SurveyAction,class,4,2,1,7,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,2,0,1,0,0,1,15,0,0,0,0,0,1,1,3,1,3,0,0,0,0,52,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/UpdateCPTCodeListAction.java,edu.ncsu.csc.itrust.action.UpdateCPTCodeListAction,class,7,9,1,11,0,1.0,1.0,4,0,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,48,8,0,1,2,0,10,3,5,5,5,2,0,0,0,113,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/UpdateHospitalListAction.java,edu.ncsu.csc.itrust.action.UpdateHospitalListAction,class,7,9,1,11,0,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,41,7,0,1,2,3,8,3,5,3,4,2,0,0,0,77,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/UpdateICDCodeListAction.java,edu.ncsu.csc.itrust.action.UpdateICDCodeListAction,class,6,8,1,10,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,45,7,0,1,2,0,9,4,6,4,5,2,0,0,0,103,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/UpdateLOINCListAction.java,edu.ncsu.csc.itrust.action.UpdateLOINCListAction,class,7,8,1,13,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,45,4,1,1,1,0,8,5,11,4,8,2,0,0,0,77,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/UpdateNDCodeListAction.java,edu.ncsu.csc.itrust.action.UpdateNDCodeListAction,class,7,9,1,11,0,1.0,1.0,4,0,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,48,8,0,1,2,0,9,4,6,4,5,2,0,0,0,95,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewAdverseEventAction.java,edu.ncsu.csc.itrust.action.ViewAdverseEventAction,class,3,4,1,4,0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewExpiredPrescriptionsAction.java,edu.ncsu.csc.itrust.action.ViewExpiredPrescriptionsAction,class,9,12,1,21,0,0.8,1.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,62,8,3,4,0,0,3,0,11,0,11,3,0,0,0,92,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyAccessLogAction.java,edu.ncsu.csc.itrust.action.ViewMyAccessLogAction,class,4,10,1,11,4,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,45,4,0,2,1,0,13,5,13,2,8,2,0,0,0,86,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyApptsAction.java,edu.ncsu.csc.itrust.action.ViewMyApptsAction,class,5,5,1,7,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,22,4,0,0,0,0,0,1,4,0,4,1,0,0,0,44,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyMessagesAction.java,edu.ncsu.csc.itrust.action.ViewMyMessagesAction,class,6,38,1,34,0,0.52747256,0.72527474,14,0,14,0,0,0,14,0,0,0,4,0,0,4,0,0,0,0,1,108,15,2,2,2,0,26,29,23,1,17,3,0,0,0,116,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyRecordsAction.java,edu.ncsu.csc.itrust.action.ViewMyRecordsAction,class,24,59,1,47,60,0.4,1.0,25,0,25,0,0,0,25,0,0,0,12,0,0,12,0,0,0,0,1,195,38,10,10,5,0,9,10,30,1,27,3,0,0,0,162,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyRemoteMonitoringListAction.java,edu.ncsu.csc.itrust.action.ViewMyRemoteMonitoringListAction,class,6,7,1,9,0,0.7,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,1,0,4,0,6,0,6,2,0,0,0,75,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewMyReportRequestsAction.java,edu.ncsu.csc.itrust.action.ViewMyReportRequestsAction,class,6,9,1,20,0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,5,46,4,0,1,0,0,7,1,11,0,10,2,0,0,0,85,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewOfficeVisitAction.java,edu.ncsu.csc.itrust.action.ViewOfficeVisitAction,class,10,9,3,13,0,0.8,1.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,0,0,4,43,3,0,0,2,0,2,0,9,0,5,2,0,0,0,86,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewPatientOfficeVisitHistoryAction.java,edu.ncsu.csc.itrust.action.ViewPatientOfficeVisitHistoryAction,class,11,12,1,40,0,1.0,1.0,5,0,3,2,0,0,3,0,0,0,6,0,0,6,0,0,0,0,0,75,4,2,1,2,0,6,1,19,3,19,3,0,0,0,81,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewPersonnelAction.java,edu.ncsu.csc.itrust.action.ViewPersonnelAction,class,8,5,1,10,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,4,30,2,0,1,1,0,3,0,6,1,6,2,0,0,0,61,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewPrescriptionRecordsAction.java,edu.ncsu.csc.itrust.action.ViewPrescriptionRecordsAction,class,10,12,1,21,0,0.8,1.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,2,62,8,3,4,0,0,3,0,11,0,11,3,0,0,0,79,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewPrescriptionRenewalNeedsAction.java,edu.ncsu.csc.itrust.action.ViewPrescriptionRenewalNeedsAction,class,5,3,1,7,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,2,21,2,0,0,1,0,2,1,3,1,3,1,0,0,0,61,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewReportAction.java,edu.ncsu.csc.itrust.action.ViewReportAction,class,7,6,1,7,0,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,23,5,0,0,0,0,0,0,2,0,2,0,0,0,0,59,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewSurveyResultAction.java,edu.ncsu.csc.itrust.action.ViewSurveyResultAction,class,5,3,1,9,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,3,0,1,0,0,0,21,2,0,0,0,0,2,2,4,0,4,0,0,0,0,63,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/action/ViewVisitedHCPsAction.java,edu.ncsu.csc.itrust.action.ViewVisitedHCPsAction,class,10,44,1,47,0,0.6666667,1.0,7,0,6,1,0,0,6,0,0,0,7,0,0,7,0,0,0,0,3,174,6,10,12,4,1,20,11,26,4,23,7,0,0,0,100,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/BeanBuilder.java,edu.ncsu.csc.itrust.BeanBuilder,class,2,11,1,17,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,1,2,4,1,0,7,3,5,2,5,4,0,0,0,73,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/AdverseEventBean.java,edu.ncsu.csc.itrust.beans.AdverseEventBean,class,0,16,1,0,100,0.06666667,0.06666667,16,0,16,0,0,0,16,0,0,0,8,0,0,0,0,8,0,0,0,58,8,0,0,0,0,0,0,8,0,8,0,0,0,0,73,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/AllergyBean.java,edu.ncsu.csc.itrust.beans.AllergyBean,class,1,13,1,4,43,0.10909091,0.10909091,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,45,7,0,1,1,0,2,0,5,0,4,1,0,0,0,65,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/ApptBean.java,edu.ncsu.csc.itrust.beans.ApptBean,class,0,10,1,0,35,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,5,0,5,0,0,0,0,17,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/ApptTypeBean.java,edu.ncsu.csc.itrust.beans.ApptTypeBean,class,0,6,1,0,0,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,0,0,0,0,1,6,0,2,0,0,0,0,10,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/DiagnosisBean.java,edu.ncsu.csc.itrust.beans.DiagnosisBean,class,0,14,1,1,38,0.21212122,0.34848484,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,1,0,0,4,1,9,1,5,1,0,0,0,75,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/DrugInteractionBean.java,edu.ncsu.csc.itrust.beans.DrugInteractionBean,class,0,6,1,0,9,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,56,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/Email.java,edu.ncsu.csc.itrust.beans.Email,class,1,21,1,10,58,0.17582418,0.50549453,16,0,14,2,0,0,14,0,0,0,5,0,0,5,0,0,0,0,0,64,13,2,2,0,0,10,4,12,3,7,2,0,0,0,75,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/FamilyMemberBean.java,edu.ncsu.csc.itrust.beans.FamilyMemberBean,class,1,10,1,2,37,0.08888889,0.08888889,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,35,5,0,0,0,0,4,1,8,1,4,0,0,0,0,56,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/forms/EditOfficeVisitForm.java,edu.ncsu.csc.itrust.beans.forms.EditOfficeVisitForm,class,0,42,1,0,819,0.024390243,0.024390243,42,0,42,0,0,0,42,0,0,0,21,0,0,21,0,0,0,0,0,149,21,0,0,0,0,0,0,21,0,21,0,0,0,0,74,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/forms/HealthRecordForm.java,edu.ncsu.csc.itrust.beans.forms.HealthRecordForm,class,0,17,1,0,120,0.05882353,0.05882353,17,0,17,0,0,0,17,0,0,0,8,0,0,8,0,0,0,0,0,60,8,0,0,0,0,8,0,16,0,8,0,0,0,0,53,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/forms/VisitReminderReturnForm.java,edu.ncsu.csc.itrust.beans.forms.VisitReminderReturnForm,class,2,16,1,4,59,0.17582418,0.43956044,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,58,6,1,1,0,0,2,0,11,1,6,1,0,0,0,65,1,0
/work/Papiere/finegrained-traceability/datasets/iTrust/code/beans/HCPDiagnosisBean.java,edu.ncsu.csc.itrust.beans.HCPDiagnosisBean,class,2,19,1,1,75,0.14285715,0.23809524,15,0,15,0,0,0,15,0,0,0,8,0,0,8,0,0,0,0,2,59,7,0,4,0,3,2,8,10,2,8,0,0,0,0,79,1,0
