;lemma
BeanCulturalHeritage;beanculturalheritage
Serializable;serializable
BeanBanner;BeanBanner
ISearch;isearch
Remote;remote
DBLocationStatistic;dblocationstatistic
IDBLocationStatistic;idblocationstatistic
DBRefreshmentPointOperator;dbrefreshmentpointoperator
IDBRefreshmentPointOperator;idbrefreshmentpointoperator
Point3D;point3d
ICulturalHeritageAgencyManager;ICulturalHeritageAgencyManager
ICulturalHeritageCommonManager;iculturalheritagecommonmanager
CulturalHeritageChecker;culturalheritagechecker
Fuzzy;fuzzy
Tag;tag
JInternalFrame;JInternalFrame
IDBSearchPreference;idbsearchpreference
TestoNewsRendererTest;testonewsrenderert
AdvertisementManager;AdvertisementManager
UnicastRemoteObject;unicastremoteobject
IAdvertisementManager;iadvertisementmanag
CulturalHeritage;CulturalHeritage
AdvancedSearch;AdvancedSearch
Search;search
CulturalHeritageCommonManager;culturalheritagecommonmanager
TouristCommonManager;touristcommonmanager
ITouristCommonManager;itouristcommonmanager
IDBNews;idbnews
BeanVisitBC;BeanVisitBC
CulturalHeritageAgencyManager;culturalheritageagencymanager
DBMenu;DBMenu
IDBMenu;idbmenu
AdvertisementRefreshmentPointManager;advertisementrefreshmentpointmanager
IAdvertisementRefreshmentPointManager;iadvertisementrefreshmentpointmanager
DBNews;dbnew
ScrollableTable;ScrollableTable
JTable;jtable
Scrollable;scrollable
BannerDialog;BannerDialog
JPanel;JPanel
IDBCulturalHeritage;idbculturalheritage
DBConvention;dbconvention
IDBConvention;idbconvention
DBCulturalHeritage;dbculturalheritage
CardBC;cardbc
ICard;icard
BeanRefreshmentPoint;beanrefreshmentpoint
SiteTableModel;sitetablemodel
AbstractTableModel;abstracttablemodel
TouristClientManager;TouristClientManager
ITouristClientManager;ITouristClientManager
ControlServerLauncher;controlserverlauncher
ControlData;ControlData
TagTableModel;tagtablemodel
PriorityRenderer;PriorityRenderer
JSlider;jslider
TableCellRenderer;TableCellRenderer
IDBRefreshmentPoint;idbrefreshmentpoint
BeanGenericPreference;beangenericpreference
BeanMenu;BeanMenu
IDBGenericPreference;idbgenericpreference
BeanOperatorAgency;beanoperatoragency
ITouristAgencyManager;itouristagencymanager
DBTag;dbtag
IDBTag;IDBTag
DBAgencyOperator;dbagencyoperator
IDBAgencyOperator;idbagencyoperator
Banner;Banner
ListCategory;ListCategory
BeanTag;BeanTag
ControllDataAdvertisement;ControllDataAdvertisement
BannerNode;BannerNode
DefaultMutableTreeNode;DefaultMutableTreeNode
IDBTourist;IDBTourist
AverageRatingRenderer;AverageRatingRenderer
DefaultTableCellRenderer;defaulttablecellrenderer
TagAgencyOperatorManager;tagagencyoperatormanager
TagCommonManager;tagcommonmanager
ITagAgencyOperatorManager;ITagAgencyOperatorManager
GlobalConstants;GlobalConstants
ReportTableModel;ReportTableModel
DBDish;DBDish
IDBDish;idbdish
DBConnectionPool;dbconnectionpool
LimitedDocument;limiteddocument
PlainDocument;PlainDocument
Category;category
BeanConvention;BeanConvention
IDBBanner;idbbann
DBGenericPreference;dbgenericpreference
PRNode;prnode
TouristAgencyManager;touristagencymanager
IAdvertisementAgencyManager;iadvertisementagencymanager
News;news
IDBVisitPR;IDBVisitPR
ReportStatistic;ReportStatistic
ErrorMessage;ErrorMessage
BeanOperatorRefreshmentPoint;BeanOperatorRefreshmentPoint
CulturalHeritageVisitChecker;CulturalHeritageVisitChecker
IAuthentication;iauthentication
TouristTableModel;touristtablemodel
ITagCommonManager;itagcommonmanager
DBBanner;DBBanner
IRefreshmentPointAgencyManager;irefreshmentpointagencymanager
IRefreshmentPointCommonManager;irefreshmentpointcommonmanager
AdvertisementAgencyManager;advertisementagencymanager
BeanTourist;BeanTourist
CardPR;cardpr
DocumentoNumerico;DocumentoNumerico
DBSearchPreference;dbsearchpreference
Point3DRenderer;Point3DRenderer
RefreshmentPointCommonManager;refreshmentpointcommonmanager
FeedBackTableModel;FeedBackTableModel
BeanSearchPreference;beansearchpreference
OperatorAgency;OperatorAgency
BeanVisitPR;BeanVisitPR
DBVisitPR;dbvisitpr
TouristCard;TouristCard
BannerRenderer;BannerRenderer
DefaultTreeCellRenderer;defaulttreecellrenderer
IDBVisitBC;IDBVisitBC
BeanDish;BeanDish
Authentication;authentication
RefreshmentPointAgencyManager;refreshmentpointagencymanager
Tourist;tourist
DBVisitBC;dbvisitbc
DBRefreshmentPoint;dbrefreshmentpoint
HelpManager;HelpManager
MouseAdapter;MouseAdapter
RefreshmentPoint;RefreshmentPoint
DeskManager;DeskManager
DefaultDesktopManager;DefaultDesktopManager
DBTourist;dbtourist
StandardSearch;StandardSearch
BeanNews;beannew
lhcp;lhcp
schedule;schedule
appointment;appointment
patient;patient
assumed;assume
worked;work
person;person
via;via
telephone;telephone
outside;outside
enters;enter
mid;mid
type;type
pull-down;pull-down
types;type
date;date
start;start
only;only
equal;equal
after;after
interface;interface
provide;provide
both;both
option;option
typing;type
format;format
calendar;calendar
month;month
optional;optional
up;up
characters;character
such;such
reason;reason
e;e
hcp;hcp
medical;medical
identification;identification
prompted;prompt
try;try
again;again
sending;send
views;view
sent;send
referrals;referral
may;may
sort;sort
receiving;receive
generated;generate
priority;priority
referral;referral
complete;complete
specialty;specialty
office;office
visit;visit
notes;note
enterer;enterer
editor;editor
presented;present
determines;determine
right;right
can;can
either;either
height;height
weight;weight
graph;graph
line;line
chart;chart
giving;give
measurements;measurement
spanning;span
last;last
years;year
averaged;average
quarters;quarter
january-;january-
march;march
april-;april-
june;june
july-;july-
september;september
october-;october-
december;december
titled;title
includes;include
i;I
first;first
phone;phone
contact;contact
email;email
address;address
so;so
emails;email
be;be
trust;trust
sorted;sort
based;base
ascending;ascend
alphabetical;alphabetical
order;order
patients;patient
';'
names;name
when;when
chronic;chronic
special-diagnosis-history;special-diagnosis-history
satisfies;satisfy
three;three
prescriptions;prescription
satisfying;satisfy
third;third
condition;condition
listed;list
static;static
no;no
link;link
administer;administer
two;two
lists;list
ndc;ndc
codes;code
administrator;administrator
drug;drug
each;each
record;record
drugs;drug
textual;textual
possible;possible
effects;effect
stored;store
desired;desire
does;do
alive;alive
over;over
old;old
who;who
had;have
flu;flu
shot;shoot
cpt;cpt
per;per
http;http
www;www
influenza;influenza
com;com
index;index
cfm;cfm
fa;fa
additional;additional
res;res
hc;hc
during;during
months;month
sept;sept
-;-
dec;dec
year;year
retrieval;retrieval
health;health
representative;representative
see;see
abbreviated;abbreviate
their;their
siblings;sibling
parents;parent
sets;set
grandparents;grandparent
mi;mi
ds;ds
available;available
they;they
diagnoses;diagnosis
related;relate
table;table
x;x
family;family
member;member
suffered;suffer
diagnosis;diagnosis
high;high
blood;blood
pressure;pressure
systolic;systolic
mm;mm
hg;hg
diastolic;diastolic
cholesterol;cholesterol
hdl;hdl
levels;level
under;under
mg;mg
d;d
l;l
milligrams;milligram
deciliter;deciliter
triglyceride;triglyceride
level;level
diabetes;diabete
diagnosed;diagnose
icd-;icd-
cm;cm
code;code
beginning;begin
cancer;cancer
heart;heart
disease;disease
icdcm;icdcm
smoking;smoking
cause;cause
death;death
deceased;deceased
public;public
agent;agent
listing;list
immunization-related;immunization-relate
adverse;adverse
period;period
do;do
status;status
detail;detail
upon;upon
fake;fake
reporter;reporter
gain;gain
also;also
communication;communication
because;because
appears;appear
bogus;bogus
s;s
refer;refer
another;another
through;through
page;page
uc;uc
must;must
text;text
box;box
include;include
most;most
important;important
least;least
summarizing;summarize
newly;newly
created;create
timestamp;timestamp
additionally;additionally
messages;message
his;his
her;she
appointments;appointment
together;together
dates;date
prescription;prescription
lab;lab
procedure;procedure
displayed;display
read;read
label;label
medication;medication
prescribed;prescribe
medications;medication
laboratory;laboratory
update;update
loinc;loinc
intended;intend
different;different
physician;physician
satisfaction;satisfaction
survey;survey
provides;provide
zip;zip
hospital;hospital
surgeon;surgeon
specialist;specialist
pediatrician;pediatrician
ob;ob
gyn;gyn
provided;provide
practices;practice
zipcode;zipcode
match;match
digits;digit
average;average
minutes;minute
wait;wait
waiting;wait
room;room
examination;examination
prior;prior
seeing;see
treatment;treatment
percentage;percentage
visits;visit
own;own
demographic;demographic
comprehensive;comprehensive
including;include
below;below
etc;etc
entire;entire
records;record
those;those
normally;normally
viewable;viewable
requesting;request
ps;ps
allergies;allergy
procedures;procedure
known;know
relatives;relative
people;people
representing;represent
represented;represent
documents;document
any;any
default;default
home;home
numbers;number
blankspace;blankspace
carriage;carriage
values;value
maintained;maintain
document;document
none;none
ordered;order
performed;perform
immunizations;immunization
add;add
she;she
administered;administer
immunization;immunization
able;able
write;write
describes;describe
symptoms;symptom
indicating;indicate
wishes;wish
reply;reply
inbox;inbox
opens;open
clicks;click
above;above
response;response
row;row
showing;show
subject;subject
now;now
preceded;precede
re;re
recipient;recipient
visible;visible
outbox;outbox
bolded;bolde
sender;sender
alerting;alert
arrived;arrive
expired;expire
linked;link
there;there
empty;empty
street;street
city;city
missing;miss
whole;whole
simply;simply
shown;show
blank;blank
partial;partial
providing;provide
optionally;optionally
addition;addition
informing;inform
prompts;prompt
field;field
at;at
mellitus;mellitus
icd;icd
asthma;asthma
circulatory-system;circulatory-system
inclusive;inclusive
maintain;maintain
allowable;allowable
store;store
international;international
classification;classification
diseases;disease
problems;problem
commonly;commonly
abbreviation;abbreviation
classify;classify
wide;wide
variety;variety
signs;sign
abnormal;abnormal
findings;finding
complaints;complaint
social;social
circumstances;circumstance
external;external
causes;cause
injury;injury
nhcs;nhc
functioning;function
disability;disability
long-term;long-term
short;short
term;term
alphanumeric;alphanumeric
uap;uap
monitoring;monitor
added;add
cases;case
remote;remote
glucose;glucose
pedometer;pedometer
readings;reading
submitted;submit
physical;physical
services;service
logical;logical
observation;observation
identifiers;identifier
universal;universal
standard;standard
identifying;identify
observations;observation
c;c
o;o
informatics;informatic
creating;create
modifying;modify
recorded;record
secondary;secondary
whose;whose
being;be
accessed;access
action;action
range;range
applicable;applicable
well;well
whom;whom
reported;report
notified;notify
interactions;interaction
other;other
currently;currently
taken;take
long;long
transit;transit
received;receive
attending;attend
b;b
yet;yet
take;take
ability;ability
technician;technician
pending;pende
queue;queue
grouped;group
marked;mark
electronic;electronic
sessions;session
terminate;terminate
pre-determined;pre-determined
inactivity;inactivity
allow;allow
length;length
ensure;ensure
authorization;authorization
disabled;disabled
exceeds;exceed
exception;exception
security;security
question;question
clicking;click
beside;beside
id;id
recent;recent
mandatory;mandatory
andoffice;andoffice
answer;answer
null;null
obtain;obtain
pair;pair
toggle;toggle
designating;designate
undesignating;undesignate
dlhcp;dlhcp
drug-related;drug-relate
examine;examine
preconditions;precondition
apply;apply
g;g
adult;adult
n't;n't
tested;test
child;child
analysis;analysis
occur;occur
physiologic;physiologic
highlighted;highlight
normal;normal
photo;photo
part;part
questions;question
relative;relative
how;how
many;many
satisfied;satisfy
were;be
answers;answer
upcoming;upcoming
later;later
open;open
duration;duration
soonest;soon
conflicting;conflict
bold;bold
overlap;overlap
same;same
care;care
personnel;personnel
er;er
filter;filter
filtering;filtering
exactly;exactly
string;string
words;word
body;body
substring;substring
neither;neither
nor;nor
stamp;stamp
falling;fall
defined;define
starting;start
ending;end
note;note
single;single
these;these
five;five
rather;rather
filters;filter
value;value
could;could
criterion;criterion
impact;impact
imposing;impose
constraints;constraint
initially;initially
populated;populate
saved;save
modifies;modify
click;click
modifications;modification
repopulate;repopulate
test;test
across;across
applies;apply
inputs;input
accurately;accurately
surgical;surgical
diagnostic;diagnostic
designed;design
communicate;communicate
uniform;uniform
among;among
physicians;physician
coders;coder
accreditation;accreditation
organizations;organization
payers;payer
administrative;administrative
financial;financial
analytical;analytical
purposes;purpose
alpha;alpha
role;role
accessor;accessor
emergency;emergency
responder;responder
fine;fine
andfor;andfor
fact;fact
entries;entry
software;software
tester;tester
authenticates;authenticate
himself;himself
herself;herself
actual;actual
operational;operational
profile;profile
operations;operation
total;total
transactions;transaction
broken-down;break-down
uhcp;uhcp
admin;admin
analyzed;analyze
risk;risk
factors;factor
determine;determine
exhibits;exhibit
factor;factor
warning;warn
exhibit;exhibit
descending;descend
timestamps;timestamp
would;would
labeled;label
drop-down;drop-down
options;option
reopened;reopen
sorting;sort
always;always
used;use
requests;request
reports;report
pertinent;pertinent
doctor;doctor
manager;manager
typed;type
appear;appear
similar;similar
self-reported;self-report
times;time
failed;fail
attempts;attempt
userid;userid
disallow;disallow
log;log
ip;ip
comments;comment
source;source
updated;update
professional;professional
against;against
allergy;allergy
unit;unit
diagnose;diagnose
failures;failure
machine;machine
tries;try
ten;ten
told;tell
links;link
center;center
rejection;rejection
acceptance;acceptance
national;national
product;product
identifier;identifier
united;united
states;state
human;human
directory;directory
secret;secret
key;key
personally;personally
reset;reset
specify;specify
lt;lt
tissue;tissue
edited;edit
except;except
assign;assign
hospitals;hospital
pull;pull
down;down
affiliation;affiliation
reassign;reassign
testing;test
technicians;technician
reassignment;reassignment
placeholder;placeholder
photograph;photograph
file;file
assigned;assign
initial;initial
defaulting;default
recipients;recipient
directed;direct
requested;request
ranked;rank
earlier;early
returned;return
reasons;reason
nine;nine
here;here
overriding;override
allergic;allergic
taking;take
age;age
catch;catch
relevant;relevant
begin;begin
recommended;recommend
ever;ever
clickable;clickable
phr;phr
mother;mother
father;father
mass;mass
bmi;bmi
indicate;indicate
passed;pass
away;away
indicates;indicate
unread;unread
anymore;anymore
never;never
random;random
without;without
choosing;choose
whether;whether
indicated;indicate
just;just
find;find
lhc;lhc
handled;handle
my;my
living;live
quantity;quantity
treated;treat
counted;count
regardless;regardless
unique;unique
lchp;lchp
BeanBuilder;BeanBuilder
DBUtil;dbutil
SessionTimeoutListener;sessiontimeoutlistener
HttpSessionListener;HttpSessionListener
MedicationBeanValidator;MedicationBeanValidator
BeanValidator;BeanValidator
RemoteMonitoringDataBeanValidator;remotemonitoringdatabeanvalidator
SecurityQAValidator;SecurityQAValidator
ApptTypeBeanValidator;appttypebeanvalidator
ApptBeanValidator;apptbeanvalidator
DrugInteractionValidator;druginteractionvalidator
MailValidator;MailValidator
EmailValidator;EmailValidator
MessageValidator;MessageValidator
AddPatientValidator;addpatientvalidator
HealthRecordFormValidator;healthrecordformvalidator
LOINCBeanValidator;loincbeanvalidator
PatientValidator;PatientValidator
SurveySearchValidator;surveysearchvalidator
AllergyBeanValidator;allergybeanvalidator
EMailValidator;EMailValidator
DiagnosisBeanValidator;DiagnosisBeanValidator
PersonnelValidator;PersonnelValidator
EditOfficeVisitValidator;editofficevisitvalidator
AddPersonnelValidator;addpersonnelvalidator
LabProcedureValidator;labprocedurevalidator
HospitalBeanValidator;HospitalBeanValidator
ValidationFormat;ValidationFormat
NAME;name
DATE;DATE
PHONE_NUMBER;phone_number
MID;MID
ROLE;role
EMAIL;EMAIL
QUESTION;question
ANSWER;answer
ADDRESS;address
APPT_COMMENT;APPT_COMMENT
APPT_TYPE_NAME;appt_type_name
APPT_TYPE_DURATION;APPT_TYPE_DURATION
CITY;CITY
STATE;state
ZIPCODE;ZIPCODE
BLOODTYPE;BLOODTYPE
GENDER;GENDER
NOTES;note
MESSAGES_BODY;messages_body
MESSAGES_SUBJECT;messages_subject
PASSWORD;password
INSURANCE_ID;insurance_id
HOSPITAL_ID;hospital_id
HOSPITAL_NAME;hospital_name
ND_CODE_DESCRIPTION;nd_code_description
DRUG_INT_COMMENTS;drug_int_comments
EMAILS;emails
ADVERSE_EVENT_COMMENTS;adverse_event_comment
ICD_CODE_DESCRIPTION;ICD_CODE_DESCRIPTION
CPT_CODE_DESCRIPTION;cpt_code_description
ALLERGY_DESCRIPTION;allergy_description
ICD9CM;ICD9CM
CPT;CPT
Height;height
Weight;weight
YEAR;year
GENDERCOD;GENDERCOD
ND;nd
LOINC;LOINC
LOINC_ITEM;loinc_item
COMMENTS;comment
LAB_STATUS;LAB_STATUS
LAB_RIGHTS;lab_right
SYSTOLIC_BLOOD_PRESSURE;SYSTOLIC_BLOOD_PRESSURE
DIASTOLIC_BLOOD_PRESSURE;diastolic_blood_pressure
GLUCOSE_LEVEL;glucose_level
ProcedureBeanValidator;ProcedureBeanValidator
AdverseEventValidator;adverseeventvalidator
ViewMyMessagesAction;viewmymessagesaction
SurveyAction;SurveyAction
ViewOfficeVisitAction;viewofficevisitaction
OfficeVisitBaseAction;officevisitbaseaction
UpdateHospitalListAction;updatehospitallistaction
ReportAdverseEventAction;reportadverseeventaction
AddRemoteMonitoringDataAction;addremotemonitoringdataaction
EditPersonnelAction;editpersonnelaction
PersonnelBaseAction;personnelbaseaction
EmergencyReportAction;emergencyreportaction
PatientBaseAction;patientbaseaction
ViewMyReportRequestsAction;viewmyreportrequestsaction
ViewReportAction;viewreportaction
GenerateCalendarAction;generatecalendaraction
ChronicDiseaseRiskAction;chronicdiseaseriskaction
LabProcHCPAction;labprochcpaction
LabProcUAPAction;labprocuapaction
MonitorAdverseEventAction;monitoradverseeventaction
DrugInteractionAction;druginteractionaction
UpdateICDCodeListAction;updateicdcodelistaction
AddERespAction;adderespaction
GetUserNameAction;GetUserNameAction
AddApptAction;addapptaction
EditPrescriptionAction;editprescriptionaction
ViewMyApptsAction;viewmyapptsaction
AddHCPAction;addhcpaction
SearchUsersAction;searchusersaction
UpdateCPTCodeListAction;updatecptcodelistaction
ViewExpiredPrescriptionsAction;viewexpiredprescriptionsaction
EditRepresentativesAction;editrepresentativesaction
AddUAPAction;adduapaction
UpdateLOINCListAction;UpdateLOINCListAction
ChangeSessionTimeoutAction;changesessiontimeoutaction
SendMessageAction;sendmessageaction
EditMonitoringListAction;editmonitoringlistaction
EditApptTypeAction;editappttypeaction
GetVisitRemindersAction;getvisitremindersaction
ReminderType;ReminderType
DIAGNOSED_CARE_NEEDERS;DIAGNOSED_CARE_NEEDERS
FLU_SHOT_NEEDERS;flu_shot_needers
IMMUNIZATION_NEEDERS;immunization_needers
AddPHAAction;addphaaction
ManageHospitalAssignmentsAction;managehospitalassignmentsaction
ViewAdverseEventAction;viewadverseeventaction
MyDiagnosisAction;MyDiagnosisAction
HCPDiagnosisBeanComparator;hcpdiagnosisbeancomparator
Comparator;comparator
EditPHRAction;editphraction
LoginFailureAction;loginfailureaction
AddOfficeVisitAction;addofficevisitaction
DeclareHCPAction;DeclareHCPAction
EditHealthHistoryAction;edithealthhistoryaction
ViewPrescriptionRecordsAction;viewprescriptionrecordsaction
ViewVisitedHCPsAction;viewvisitedhcpsaction
SetSecurityQuestionAction;setsecurityquestionaction
UpdateNDCodeListAction;updatendcodelistaction
ViewSurveyResultAction;viewsurveyresultaction
ViewMyAccessLogAction;viewmyaccesslogaction
EditOfficeVisitAction;editofficevisitaction
OVSubAction;ovsubaction
ADD_DIAGNOSIS;add_diagnosis
REMOVE_DIAGNOSIS;remove_diagnosi
ADD_PROCEDURE;ADD_PROCEDURE
REMOVE_PROCEDURE;remove_procedure
ADD_MEDICATION;add_medication
REMOVE_MEDICATION;remove_medication
ADD_LAB_PROCEDURE;add_lab_procedure
REMOVE_LAB_PROCEDURE;REMOVE_LAB_PROCEDURE
ADD_IMMUNIZATION;add_immunization
REMOVE_IMMUNIZATION;remove_immunization
ViewMyRemoteMonitoringListAction;viewmyremotemonitoringlistaction
PrescriptionReportAction;prescriptionreportaction
AddPatientAction;addpatientaction
EditPatientAction;editpatientaction
ViewPatientOfficeVisitHistoryAction;viewpatientofficevisithistoryaction
ReferralManagementAction;referralmanagementaction
ResetPasswordAction;resetpasswordaction
ViewMyRecordsAction;viewmyrecordsaction
ViewPersonnelAction;viewpersonnelaction
ViewPrescriptionRenewalNeedsAction;viewprescriptionrenewalneedsaction
RandomPassword;RandomPassword
ParameterUtil;parameterutil
RiskChecker;RiskChecker
Type2DiabetesRisks;type2diabetesrisk
ChronicDiseaseMediator;chronicdiseasemediator
SmokingFactor;SmokingFactor
PatientRiskFactor;PatientRiskFactor
EthnicityFactor;EthnicityFactor
WeightFactor;weightfactor
HypertensionFactor;HypertensionFactor
AgeFactor;agefactor
PriorDiagnosisFactor;priordiagnosisfactor
CholesterolFactor;cholesterolfactor
FamilyHistoryFactor;familyhistoryfactor
ChildhoodInfectionFactor;childhoodinfectionfactor
GenderFactor;GenderFactor
HeartDiseaseRisks;heartdiseaserisk
Type1DiabetesRisks;type1diabetesrisk
HCPLinkBean;hcplinkbean
TransactionBean;transactionbean
SecurityQA;SecurityQA
SurveyBean;surveybean
ProcedureBean;procedurebean
TransactionBeanLoader;TransactionBeanLoader
BeanLoader;BeanLoader
PrescriptionReportBeanLoader;prescriptionreportbeanloader
LabProcedureBeanLoader;LabProcedureBeanLoader
HealthRecordsBeanLoader;healthrecordsbeanloader
OperationalProfileLoader;operationalprofileloader
AdverseEventBeanLoader;adverseeventbeanload
MessageBeanLoader;messagebeanloader
ApptBeanLoader;apptbeanload
ReferralBeanLoader;referralbeanloader
AllergyBeanLoader;allergybeanloader
SurveyLoader;SurveyLoader
FamilyBeanLoader;familybeanloader
PatientLoader;PatientLoader
VisitReminderReturnFormLoader;VisitReminderReturnFormLoader
SurveyResultBeanLoader;surveyresultbeanloader
ReportRequestBeanLoader;reportrequestbeanload
DrugInteractionBeanLoader;DrugInteractionBeanLoader
OfficeVisitLoader;officevisitloader
LOINCBeanLoader;loincbeanloader
PersonnelLoader;PersonnelLoader
PrescriptionBeanLoader;prescriptionbeanloader
RemoteMonitoringDataBeanLoader;remotemonitoringdatabeanloader
DiagnosisBeanLoader;diagnosisbeanloader
EmailBeanLoader;emailbeanloader
MedicationBeanLoader;MedicationBeanLoader
HospitalBeanLoader;hospitalbeanloader
ApptTypeBeanLoader;appttypebeanloader
ProcedureBeanLoader;ProcedureBeanLoader
LabProcedureBean;labprocedurebean
ApptBean;apptbean
RemoteMonitoringDataBean;RemoteMonitoringDataBean
Email;email
HCPVisitBean;hcpvisitbean
PersonnelBean;personnelbean
HospitalBean;HospitalBean
MessageBean;messagebean
PatientVisitBean;patientvisitbean
VisitFlag;visitflag
PrescriptionBean;prescriptionbean
AllergyBean;AllergyBean
HCPDiagnosisBean;hcpdiagnosisbean
VisitReminderReturnForm;visitreminderreturnform
HealthRecordForm;healthrecordform
EditOfficeVisitForm;editofficevisitform
FamilyMemberBean;familymemberbean
HealthRecord;HealthRecord
PrescriptionReportBean;prescriptionreportbean
MedicationBean;MedicationBean
OfficeVisitBean;officevisitbean
ReportRequestBean;reportrequestbean
AdverseEventBean;adverseeventbean
SurveyResultBean;surveyresultbean
ReferralBean;ReferralBean
ReferralStatus;ReferralStatus
Pending;pende
Finished;finish
Declined;decline
OperationalProfile;OperationalProfile
PatientBean;patientbean
ApptTypeBean;appttypebean
DrugInteractionBean;DrugInteractionBean
DiagnosisBean;DiagnosisBean
LOINCbean;LOINCbean
HtmlEncoder;HtmlEncoder
DateUtil;DateUtil
AdverseEventsData;adverseeventsdata
DatasetProducer;DatasetProducer
CategoryToolTipGenerator;categorytooltipgenerator
CategoryItemLinkGenerator;categoryitemlinkgenerator
Gender;gender
Male;male
Female;female
NotSpecified;notspecified
Ethnicity;ethnicity
Caucasian;caucasian
AfricanAmerican;AfricanAmerican
Hispanic;hispanic
AmericanIndian;AmericanIndian
Asian;asian
BloodType;BloodType
APos;apos
ANeg;ANeg
BPos;BPos
BNeg;BNeg
ABPos;abpos
ABNeg;ABNeg
OPos;opos
ONeg;ONeg
NS;NS
